FireFamily Plus Hourly Listing Report
Hourly Listing of Selected Values

FF+4.2 build 24.19 05/31/2018-13:00
   printed on: 05/31/2018   at  01:00:57 PM
   using database: K:\Tier3\Weather\Production\Missouri\Fort Leonard Wood\FortLeonardWood

------------------------------------------------------
Active Working Set:
   Station: 992903  - Roby                
   Data years:  2005 - 2006
   Analysis Period Length: 1 days
   Annual filter dates:  January 1  thru  December 31
------------------------------------------------------
Station Details:
   992903 Roby                   Fuel model: E   (Use 88?: N)

   Slope class: 2   Climate class: 2   Greenup: 04/15   Freeze: 12/31
   Start KBDI: 409  Start FM1000:21   Avg. Precip: 48.60
   FM1 = FM10?  N   Herb Annual?   N   Deciduous?  N
   Aspect:      0   Slope posit.:      Elevation: 1284
   Latitude:   38.00   Longitude: 0.00
   Weighed Stick Moistures Used:   Yes
   SOW:       Use SR_SOW if SOW is Missing
   WetFlag:   Use SR_WetFlag if WetFlag is Missing
------------------------------------------------------

DATE       Time  KBDI 
01/26/2005 1900   427 
01/26/2005 2000   427 
01/27/2005 0500   427 
01/27/2005 0600   427 
01/27/2005 0700   427 
01/27/2005 0900   427 
01/27/2005 1000   427 
01/27/2005 1100   427 
01/27/2005 1200   427 
01/27/2005 1700   427 
01/27/2005 1900   427 
01/27/2005 2000   427 
01/28/2005 0500   427 
01/28/2005 0600   427 
01/28/2005 0800   427 
01/28/2005 1000   427 
01/28/2005 1200   427 
01/28/2005 1600   427 
01/28/2005 1900   427 
01/29/2005 0600   427 
01/29/2005 0700   427 
01/29/2005 1100   427 
01/30/2005 1000   427 
01/30/2005 1300   427 
01/30/2005 1400   427 
01/30/2005 1500   427 
01/30/2005 1600   427 
01/30/2005 1700   427 
01/30/2005 1800   427 
01/31/2005 0500   427 
01/31/2005 0800   427 
01/31/2005 1000   427 
01/31/2005 1100   427 
01/31/2005 1200   427 
01/31/2005 1300   427 
01/31/2005 1500   427 
01/31/2005 1800   427 
01/31/2005 1900   427 
01/31/2005 2000   427 
02/01/2005 0500   427 
02/01/2005 0700   427 
02/01/2005 0800   427 
02/01/2005 0900   427 
02/01/2005 1000   427 
02/01/2005 1200   427 
02/01/2005 1300   427 
02/01/2005 1400   427 
02/01/2005 1500   427 
02/01/2005 1800   427 
02/02/2005 0500   427 
02/02/2005 1100   427 
02/02/2005 1300   427 
02/02/2005 1700   427 
02/02/2005 1900   427 
02/03/2005 0500   427 
02/03/2005 0600   427 
02/03/2005 0800   427 
02/03/2005 1100   427 
02/03/2005 1200   427 
02/03/2005 1300   427 
02/03/2005 1700   427 
02/03/2005 1800   427 
02/03/2005 1900   427 
02/04/2005 0500   427 
02/04/2005 0700   427 
02/04/2005 0800   427 
02/04/2005 0900   427 
02/04/2005 1000   427 
02/04/2005 1100   427 
02/04/2005 1200   427 
02/04/2005 1300   428 
02/04/2005 1700   428 
02/04/2005 1800   428 
02/04/2005 1900   428 
02/05/2005 0600   428 
02/05/2005 0700   428 
02/05/2005 0800   428 
02/05/2005 0900   428 
02/05/2005 1000   428 
02/05/2005 1100   428 
02/05/2005 1200   428 
02/05/2005 1300   429 
02/06/2005 1000   429 
02/06/2005 1100   429 
02/06/2005 1200   429 
02/06/2005 1300   430 
02/06/2005 1400   430 
02/06/2005 1500   430 
02/06/2005 1700   430 
02/07/2005 0500   430 
02/07/2005 1200   430 
02/07/2005 1300   431 
02/07/2005 1400   431 
02/07/2005 1500   431 
02/07/2005 1600   431 
02/07/2005 1700   431 
02/07/2005 1800   431 
02/07/2005 1900   431 
02/07/2005 2000   431 
02/08/2005 0500   431 
02/08/2005 0700   431 
02/08/2005 1000   431 
02/08/2005 1300   432 
02/08/2005 1500   432 
02/08/2005 1600   432 
02/08/2005 1800   432 
02/09/2005 0500   432 
02/09/2005 0700   432 
02/09/2005 0800   432 
02/09/2005 1000   432 
02/09/2005 1300   432 
02/09/2005 1900   432 
02/10/2005 0500   432 
02/10/2005 0700   432 
02/10/2005 0800   432 
02/10/2005 0900   432 
02/10/2005 1000   432 
02/10/2005 1100   432 
02/10/2005 1200   432 
02/10/2005 1400   432 
02/10/2005 1700   432 
02/10/2005 1800   432 
02/10/2005 1900   432 
02/10/2005 2000   432 
02/11/2005 0500   432 
02/11/2005 0600   432 
02/11/2005 0700   432 
02/11/2005 0800   432 
02/11/2005 0900   432 
02/11/2005 1000   432 
02/11/2005 1100   432 
02/11/2005 1200   432 
02/11/2005 1500   432 
02/11/2005 1700   432 
02/11/2005 1800   432 
02/12/2005 0700   432 
02/12/2005 0800   432 
02/12/2005 0900   432 
02/12/2005 1000   432 
02/12/2005 1100   432 
02/12/2005 1300   433 
02/12/2005 1400   433 
02/13/2005 1000   433 
02/13/2005 1200   433 
02/13/2005 1800   433 
02/14/2005 0500   433 
02/14/2005 0600   433 
02/14/2005 0800   433 
02/14/2005 0900   433 
02/14/2005 1000   433 
02/14/2005 1100   433 
02/14/2005 1200   433 
02/14/2005 1300   436 
02/14/2005 1700   436 
02/14/2005 1800   436 
02/14/2005 1900   436 
02/15/2005 0500   436 
02/15/2005 0600   436 
02/15/2005 0800   436 
02/15/2005 0900   436 
02/15/2005 1000   436 
02/15/2005 1100   436 
02/15/2005 1200   436 
02/15/2005 1300   441 
02/15/2005 1400   441 
02/15/2005 1500   441 
02/15/2005 1600   441 
02/15/2005 1700   441 
02/15/2005 1800   441 
02/15/2005 1900   441 
02/15/2005 2000   441 
02/16/2005 0500   441 
02/16/2005 0600   441 
02/16/2005 0700   441 
02/16/2005 0800   441 
02/16/2005 0900   441 
02/16/2005 1000   441 
02/16/2005 1100   441 
02/16/2005 1200   441 
02/16/2005 1300   446 
02/16/2005 1500   446 
02/16/2005 1600   446 
02/16/2005 1800   446 
02/16/2005 2000   446 
02/17/2005 0500   446 
02/17/2005 0700   446 
02/17/2005 0800   446 
02/17/2005 0900   446 
02/17/2005 1000   446 
02/17/2005 1100   446 
02/17/2005 1200   446 
02/17/2005 1400   446 
02/17/2005 1500   446 
02/17/2005 1600   446 
02/17/2005 1700   446 
02/17/2005 1800   446 
02/17/2005 1900   446 
02/17/2005 2000   446 
02/18/2005 0500   446 
02/18/2005 0600   446 
02/18/2005 0700   446 
02/18/2005 0800   446 
02/18/2005 0900   446 
02/18/2005 1000   446 
02/18/2005 1100   446 
02/18/2005 1200   446 
02/18/2005 1300   447 
02/18/2005 1700   447 
02/18/2005 1800   447 
02/19/2005 0600   447 
02/19/2005 1100   447 
02/19/2005 1300   447 
02/20/2005 1000   447 
02/20/2005 1100   447 
02/20/2005 1200   447 
02/20/2005 1300   451 
02/20/2005 1600   451 
02/20/2005 1700   451 
